index,s,d_offset,x,y,yaw_deg
0,2.1,0.0,6.0887,1.7634,0.367
1,4.1,0.0,8.0887,1.7762,0.367
2,6.1,0.0,10.0887,1.789,0.367
3,8.1,0.0,12.0886,1.8018,0.367
4,10.1,0.0,14.0886,1.8146,0.367
5,12.1,0.0,16.0885,1.8275,0.367
6,14.0,0.0,17.9885,1.8396,0.367
7,16.1,0.0,20.0885,1.8531,0.367
8,18.1,0.0,22.0884,1.8659,0.367
9,20.1,0.0,24.0884,1.8787,0.367
10,22.1,0.0,26.0883,1.8915,0.367
11,24.1,0.0,28.0883,1.9043,0.367
12,26.1,0.0,30.0883,1.9171,0.367
13,28.1,0.0,32.0882,1.9299,0.367
14,30.1,0.0,34.0882,1.9427,0.367
15,32.1,0.0,36.0881,1.9555,0.367
16,34.1,0.0,38.0881,1.9683,0.367
17,36.1,0.0,40.0881,1.9812,0.367
18,38.0,0.0,41.988,1.9933,0.367
19,40.1,0.0,44.088,2.0068,0.367
20,42.1,0.0,46.0879,2.0196,0.367
21,44.1,0.0,48.0879,2.0324,0.367
22,46.0,0.0,49.9879,2.0446,0.366
23,48.101,0.0,52.0887,2.058,-3.054
24,50.079,0.0,54.0616,1.9527,-16.004
25,52.021,0.0,55.9237,1.4187,-30.967
26,54.093,0.0,57.6948,0.3559,-45.93
27,56.035,0.0,59.0421,-1.036,-60.629
28,58.069,0.0,60.0371,-2.8039,-69.878
29,60.064,0.0,60.7233,-4.6769,-70.909
30,62.032,0.0,61.3669,-6.5363,-77.321
31,64.017,0.0,61.802,-8.4703,-86.754
32,66.005,0.0,61.9145,-10.4534,-96.122
33,68.057,0.0,61.6958,-12.4918,-99.696
34,70.013,0.0,61.3665,-14.4195,-94.92
35,72.008,0.0,61.1955,-16.4057,-88.379
36,74.047,0.0,61.2532,-18.4432,-87.332
37,76.032,0.0,61.3456,-20.4261,-91.089
38,78.054,0.0,61.3071,-22.4477,-94.811
39,80.037,0.0,61.1409,-24.4226,-95.774
40,82.033,0.0,60.94,-26.4093,-94.304
41,84.031,0.0,60.7902,-28.4005,-90.029
42,86.091,0.0,60.7891,-30.4606,-85.57
43,88.058,0.0,60.941,-32.4212,-81.68
44,90.08,0.0,61.2335,-34.4213,-80.821
45,92.08,0.0,61.5525,-36.3956,-80.821
46,94.08,0.0,61.8716,-38.37,-80.821
47,96.08,0.0,62.1906,-40.3444,-80.821
48,98.08,0.0,62.5097,-42.3188,-80.933
49,100.0,0.0,62.8123,-44.2156,-83.8
50,102.056,0.0,63.0342,-46.2581,-89.375
51,104.026,0.0,63.0557,-48.2277,-95.112
52,106.106,0.0,62.8705,-50.2984,-100.848
53,108.076,0.0,62.4998,-52.2328,-105.46
54,110.06,0.0,61.9711,-54.1443,-109.176
55,112.096,0.0,61.3028,-56.0661,-120.494
56,114.086,0.0,60.295,-57.7775,-133.268
57,116.077,0.0,58.9337,-59.2236,-146.042
58,118.067,0.0,57.2864,-60.333,-158.662
59,120.032,0.0,55.4588,-61.0469,-166.862
60,122.029,0.0,53.5148,-61.5007,-167.565
61,124.029,0.0,51.5617,-61.9313,-167.565
62,126.029,0.0,49.6087,-62.362,-167.565
63,128.029,0.0,47.6556,-62.7926,-167.572
64,130.032,0.0,45.6992,-63.2238,-169.09
65,132.043,0.0,43.7249,-63.6043,-174.051
66,134.011,0.0,41.7686,-63.8082,-179.693
67,136.088,0.0,39.6926,-63.8193,174.665
68,138.056,0.0,37.7342,-63.6364,169.196
69,140.018,0.0,35.8071,-63.2687,165.209
70,142.075,0.0,33.8189,-62.7437,166.26
71,144.051,0.0,31.899,-62.2743,172.023
72,146.053,0.0,29.9176,-61.9966,178.512
73,148.055,0.0,27.9175,-61.9446,-175.001
74,150.057,0.0,25.9243,-62.119,-169.572
75,152.056,0.0,23.9584,-62.4808,-168.452
76,154.056,0.0,21.999,-62.8812,-168.452
77,156.056,0.0,20.0395,-63.2815,-168.452
78,158.056,0.0,18.08,-63.6819,-168.452
79,160.056,0.0,16.1205,-64.0823,-168.694
80,162.097,0.0,14.1189,-64.4825,-173.265
81,164.036,0.0,12.1948,-64.7097,177.42
82,166.039,0.0,10.1969,-64.6197,167.517
83,168.041,0.0,8.2442,-64.1874,157.615
84,170.044,0.0,6.3949,-63.4257,147.713
85,172.046,0.0,4.7042,-62.3574,138.169
86,174.096,0.0,3.1783,-60.9916,133.559
87,176.043,0.0,1.8366,-59.5807,131.775
88,178.034,0.0,0.5102,-58.0959,128.059
89,180.056,0.0,-0.7362,-56.504,124.055
90,182.079,0.0,-1.8685,-54.8288,120.051
91,184.101,0.0,-2.881,-53.0787,116.152
92,186.017,0.0,-3.7252,-51.3593,112.554
93,188.007,0.0,-4.4885,-49.5215,111.005
94,190.018,0.0,-5.2093,-47.6444,110.702
95,192.039,0.0,-5.9239,-45.7533,109.399
96,194.093,0.0,-6.606,-43.8164,107.605
97,196.047,0.0,-7.1969,-41.9541,105.843
98,198.001,0.0,-7.7303,-40.0746,104.035
99,200.057,0.0,-8.2291,-38.0795,102.227
100,202.011,0.0,-8.6428,-36.17,100.502
101,204.057,0.0,-9.0158,-34.1581,99.579
102,206.067,0.0,-9.3503,-32.176,99.5
103,208.067,0.0,-9.6804,-30.2035,99.5
104,210.067,0.0,-10.0105,-28.2309,99.5
105,212.067,0.0,-10.3406,-26.2583,99.473
106,214.073,0.0,-10.6707,-24.28,98.673
107,216.016,0.0,-10.9637,-22.3595,97.086
108,218.066,0.0,-11.2166,-20.3246,95.472
109,220.014,0.0,-11.4024,-18.3856,93.951
110,222.052,0.0,-11.5428,-16.3526,93.41
111,224.054,0.0,-11.6618,-14.3549,92.954
112,226.089,0.0,-11.7667,-12.3223,91.509
113,228.034,0.0,-11.8179,-10.3778,90.066
114,230.069,0.0,-11.8203,-8.3427,86.181
115,232.051,0.0,-11.6885,-6.3683,73.754
116,234.057,0.0,-11.1284,-4.4463,60.456
117,236.061,0.0,-10.1425,-2.7069,50.697
118,238.062,0.0,-8.8751,-1.1586,40.96
119,240.048,0.0,-7.3783,0.1407,28.318
120,242.035,0.0,-5.6334,1.0809,15.677
121,244.021,0.0,-3.7251,1.6165,3.343
122,246.019,0.0,-1.7337,1.7328,-0.397
123,248.019,0.0,0.2662,1.719,-0.397
